num; time; angle; duration; errorX; errorY 
1;741;1;165.99722314637253;0.2478663211805282;0.6627934600963199
2;319;1;401.8699195408675;-0.272493426666468;0.10959267087359587
3;1209;1;13.518019754951238;0.028048627400113102;0.9769871328522628
4;530;1;578.2241462073348;-0.022523324293946878;0.11339612784461106
5;476;1;356.5033424749626;-0.06702077326702227;0.17039520379154455
6;488;1;570.2155970829785;0.003449730316927635;0.2020890854989006
7;692;1;248.8747693677282;1.7628148303710571;0.9539033989151986
8;597;1;271.0422495393752;0.04093449011012695;0.073511363530947
9;489;1;302.88508847460815;-0.14619502135093287;0.17992937874586623
10;1408;1;577.9410398558741;0.129383195219829;0.25440275715853067
11;655;1;311.60033355782633;-0.06288006122193857;0.2410717593424927
12;448;1;506.82805803886646;0.14263846553405501;0.26466797614045895
13;496;1;514.0926398436195;-0.08070489712751616;0.14406548633599936
14;585;1;259.4425586946401;-0.05746405690170109;0.24096953417208664
15;734;1;112.090943893927;-0.1951462067546349;0.025041741269334228
16;533;1;435.95709429059275;0.02649821570118205;0.2278807725648107
17;1036;1;128.004803903197;-0.22721499589701977;0.3240904549244026
18;788;1;329.031222949056;-0.033308284015442835;0.04036007891943155
19;1119;1;129.22188473429213;-0.0553895871987139;0.20987765418373383
20;710;1;277.8619003939662;-0.02782853494725812;0.15263060017033603
21;853;1;100.5166278079737;-0.0702649969364469;0.1752680344867399
22;671;1;542.025280494517;-0.08667402190500181;-0.02394526153775045
23;1031;1;561.0755224757173;-0.24247335626514377;0.14599923043270768
24;819;1;318.4597172096984;0.004594274041387014;-0.0727031287834643
25;1111;1;111.8931849781223;-1.1369615354004858;-0.880313105064767
26;624;1;234.4390461508999;0.0322829981810739;0.04697840498144447
27;968;1;559.5611214806339;0.7242939415176113;-0.032990913301146896
28;759;1;595.0465164436895;-0.25828630327654867;0.13528686068884532
29;756;1;384.7489481610385;0.00323342013219563;-0.11949325465504779
30;887;1;16.141486124520867;0.1204228017913227;0.44892049435861026
31;921;1;122.21185596898496;0.037429845704092884;-0.13923582299192472
32;599;1;322.59141449817963;0.0031637207854803284;0.024714466018331993
33;846;1;229.22240856034338;-0.05136421498671773;0.23499244216190884
34;471;1;488.09903364644873;0.051962287754205416;0.028394532260245686
35;489;1;309.84024799546364;-0.023008914178181655;-0.10141322462572883
36;759;1;308.38609328313873;-0.023106181159367023;0.01983193935982963
37;690;1;169.93979867506894;0.0701677539132326;0.0025707008887602134
38;523;1;429.44259647133964;-0.06495179152009622;0.12154811097184282
39;704;1;140.26226387978417;-0.0032723256528462974;-0.21859845675018597
40;1104;1;338.1977029018894;-0.021985144740073848;0.09624041521307658
41;945;1;11.629518797673732;1.256498534861492;0.39217168210788256
42;610;1;239.78129203317988;0.00856262437169808;0.14702044631654188
43;728;1;34.79324154906487;-0.15691229490304026;0.23517693858731314
44;809;1;188.22905197481242;0.12009992054639673;0.017078158512944475
45;751;1;66.53906119321155;0.1091295769486672;0.27709614882940214
46;515;1;498.6379773207801;-0.11312916759821234;-0.0653695418454413
47;602;1;480.0474072394938;-0.03383042485456328;-0.07257903698989743
48;566;1;281.2261138249532;0.1569413040937877;0.22215694806446368
49;879;1;195.03625510296015;-0.03752867258727588;1.0642667784850965
50;533;1;367.6330491864449;0.007173929001911716;0.049874617267143706
51;742;1;75.3458308391251;0.04716631257236947;0.24094672024331326
52;909;1;85.21658752512367;0.01859957846125343;-0.1613973563785882
53;453;1;466.8884314985139;-0.13385439967493615;-0.01995039312768518
54;639;1;448.4404331223098;-0.03156209234972551;0.11362261021838238
55;1078;1;388.5527144965493;0.09499369301930882;1.8396712601780427
56;863;1;87.43405145658491;0.09656642661767958;0.11757047640520113
57;630;1;158.55832057727736;0.061760901202798035;-0.020409177865577055
58;643;1;34.95218023318287;-0.18880811113879908;-0.13069297701797322
59;499;1;494.1772047351397;-0.2009907489681353;0.02746879963781096
60;1000;1;432.3531368345188;-0.8037855417382619;-0.37534504336163715
61;720;1;358.51081349122387;-0.021527034290426572;0.12075414547928442
62;782;1;103.27923959374998;-0.07823613174027555;0.05754326142302846
63;808;1;7.556062926036322;0.5737989878273484;0.3311292060466975
64;466;1;481.4533273287578;-0.05815230320218223;0.2186898219882225
65;608;1;179.56653168447497;-0.18756817226192568;0.01647568164510327
66;1298;1;120.12343696545673;-0.08649038272939358;0.11260490971626524
67;756;1;66.21424827638651;-0.06395054809834333;0.1119269446859659
68;783;1;90.10056079138833;0.3298009405192496;0.24022443673084976
69;1130;1;0.9974021288656765;0.0004444088758058795;0.1266460715342419
70;667;1;411.9239572274776;-0.40697179810794637;0.2623546460652795
71;1162;1;99.95850580256959;-0.011164131587233839;-0.38265856100441376
72;571;1;497.3646048959804;-0.15154079943675192;-0.032408144426726404
73;187;1;542.1016483059003;0.046224407627471334;-0.06653796210487567
74;724;1;357.52511602915996;-0.011979624300999525;0.06634925723309615
75;601;1;376.3808411521298;0.03038378379958795;0.14506282698057388
76;591;1;586.2462209895436;-0.19212352299156943;0.1196363535087257
77;1838;1;23.35063156504189;-0.7854062022443389;-0.03008347005420553
78;937;1;523.6888413486612;-0.029450940394415027;-0.8047714153000647
79;648;1;494.7456033783717;-0.14391512356555075;0.06120758924239467
80;1082;1;263.58119813484814;-0.6657734716719419;1.6816888339259666
81;536;1;561.783810059878;-0.09537682041870088;0.026597841550196066
82;937;1;113.70898035099444;1.6220878415314395;-1.5822664812866551
83;865;1;143.3409522183356;0.015140017402825445;-0.09791911213407212
84;455;1;569.3687715994139;-0.05939977035717425;0.2538890643413614
85;562;1;428.2423223910673;0.061772798690651526;0.18008447123213184
86;933;1;555.8123795458661;-0.10442894174680573;0.3701491782367927
87;541;1;200.02732487840618;-0.11170050524068031;0.3782408348195041
88;1139;1;202.6576735965298;-0.22188104707800194;1.7024080155490933
89;619;1;193.5029546425677;-0.8797852145474641;-0.7842940371319553
90;936;1;107.1154763558841;-0.08326493748575126;0.22198365295190614
91;635;1;570.6550875633176;-0.0009746928710281377;0.24500419784464172
92;705;1;122.35938961615544;-0.04396766954545239;0.3030315177977876
93;969;1;126.44086814887578;-0.23779318505385505;-0.1462820083942914
94;609;1;585.3839085101097;0.05703205972025627;0.0674603837097375
95;747;1;107.78065431396607;-0.7494230612203149;1.1276104952346722
96;571;1;349.16946104225343;0.057925206421067243;0.11555548500074508
97;617;1;375.203929886495;-0.11516382198464425;0.2478638125229905
