num; time; angle; duration; errorX; errorY 
1;611;1.371871448509126;400;0.06814457245817751;0.47803532197094545
2;561;1.3906934395902437;400;0.18107597126482833;0.15234698627848542
3;553;0.32735097680316977;400;-0.16537833639327254;0.22830446284431144
4;606;0.2945285038884581;400;0.1252657438673922;-0.0967056085126925
5;715;0.9178297803960048;400;0.0318030492697412;-0.027702141277525016
6;597;0.5239851497916644;400;-0.022646203462920844;-0.11720627070257456
7;620;1.0524817333594578;400;-0.2628867805126349;0.13590930934996315
8;578;0.05521192634429951;400;-0.004198904615602683;0.08544040043968293
9;603;1.2835008424181205;400;-0.01661577826730453;0.4527312174721082
10;610;1.4077818381224565;400;-0.11895858550528082;0.5194552359047051
11;595;1.2361631244620908;400;-0.06723820869690433;0.07233540920369924
12;515;0.6719095044968773;400;-0.07755957004095204;0.14093454753395607
13;595;0.27569278926991947;400;-0.029851196241996725;-0.1931684265265765
14;499;0.2984243493713781;400;0.0747689279595557;0.16207569442900555
15;631;0.5557201504318457;400;-0.11787558268980725;0.10699072764174233
16;581;0.02424594705930175;400;-0.07746720495907478;0.12099242354773437
17;588;0.10598145882146866;400;0.23585806426545408;-0.02589442077382025
18;508;0.7256619752997944;400;-0.0485470950098969;0.07793054018750778
19;647;0.3633403630105305;400;-0.09195994919378433;-0.0809376442028244
20;494;0.9382986894533062;400;0.004256386287596017;0.18719313347332903
21;465;0.84450475922073;400;0.15516597954114975;0.14082181808247124
22;597;1.3887725961850192;400;0.04638294118411612;0.23367145758371488
23;716;1.393018840385469;400;0.05690149748920614;-0.019040471315895036
24;823;0.8448754688080395;400;-0.04640129405999416;-0.19992099075461378
25;590;0.06709998866098828;400;-0.031010923500621505;0.049611582267050994
26;662;0.9493452380160226;400;-0.06923072730471358;-0.2600565016718803
27;747;0.6434791844618865;400;-0.1717581232887616;0.16080976151463433
28;685;1.37631444230721;400;-0.10265101879382632;-0.08893009535807439
29;576;0.6366555173056453;400;0.056818917475583486;0.015300659548893342
30;506;0.7181221618017065;400;0.0011593019473576383;0.08501243282361245
31;532;0.19209642907048763;400;-0.04310284868918128;0.07934271608412302
32;566;0.8765721092896778;400;0.012582915921768745;0.21602489109356182
33;551;1.045538198180991;400;0.06834365670514997;0.10333253479365156
34;547;0.9811891520479881;400;0.2453819759593393;-0.05400619368321147
35;608;0.3880132700178612;400;0.12524723687740869;0.19754675614276218
36;832;0.8068171530751294;400;0.03901843647048408;-0.004673199820866003
37;598;0.3523737364051567;400;0.031477537165492175;-0.20647117753586025
38;645;1.2384689960321231;400;0.010828986083255221;0.14253266613158722
39;1235;1.5349231332059425;400;-0.13213334352592065;1.1402369755627566
40;570;1.067768332779642;400;-0.082548033456876;-0.03907140263370368
41;578;0.04867499690282598;400;-0.049650081805143964;0.1096697375883613
42;618;1.20032648961782;400;-0.2115674382913899;0.25050100619321203
43;618;0.09315629999415471;400;0.09509838789431777;-0.09723984716668993
44;543;0.9127004451609945;400;-0.1147501066504184;0.24625980114345325
45;704;1.3688719276317025;400;-0.09470958477401137;0.07831442597320248
46;653;1.1655641716453318;400;-0.04991674891182141;-0.07547120003133378
47;653;1.4256269654821823;400;0.004994770407855287;0.016773014765679273
48;630;0.7864797633016541;400;0.02155109403296651;-0.05525505971930478
49;684;1.02280535229281;400;-0.0807348216613305;0.10922944141688928
50;641;0.23264911863742144;400;-0.03654384929091847;0.25676733060054724
51;502;1.2265039224620997;400;0.07299086329312593;0.15133678087456826
52;561;1.2181181035966868;400;0.04029606727992652;0.3365051430421022
53;675;1.0481964676499096;400;0.024410041862161003;0.20380224273615877
54;543;0.4221538781744427;400;0.1346190373767443;-0.014286809397955763
55;552;0.8018990088615827;400;-0.012193817100729018;-0.09363578650922966
56;378;0.5962872821184503;400;0.0705382598489872;0.09928201745645493
57;530;1.1707619964412952;400;-0.0658513942399126;0.003221756927947683
58;492;0.282173425376888;400;-0.05706684180742139;0.25073670006418464
59;610;1.0881815485361264;400;-0.0032799744087380622;0.08433463002429081
60;423;0.8360543387004714;400;-0.042208625747553685;-0.1161707689045074
61;573;0.30679557921309286;400;-0.05292510802508188;-0.025313418959085787
62;735;0.14302145954534937;400;-0.44626673208556145;0.026046339120203044
63;608;0.03911627923185512;400;0.06827083751881333;-0.017714928229901672
64;680;0.9744642803000177;400;-0.07466744645851442;0.04709522209344352
65;1419;1.557453722524583;400;-0.193610679279398;0.7154576751392998
